scenario,pi1,rep,scheme,d1,r1,ok,n_with_fail_b,n_cross_c,a0,a1,lam,q,log_xi,se,lo,hi,log_xi_true
S1-connector,0.5,55,b,0,10,1,10,9,-6.0651347930632,3.9666141135532698,0.0032485722158659244,0.7234549300779882,13.071717157745871,20.590513161312703,-27.284947061624997,53.42838137711674,11.692740998710773
S1-connector,0.5,55,c,0,10,1,10,9,-1.791663971794387,1.7604585190183215,0.8213062205781647,0.4354260076650919,11.827108264245455,2.327015672341561,7.266241354995736,16.387975173495175,11.692740998710773
S1-connector,0.5,32,a,0,10,1,9,9,-7.269572771627733,11.559551317743606,396.18806836657245,0.18902945838559132,56.450259436229665,,,,11.692740998710773
S1-connector,0.5,32,b,0,10,1,9,9,-2.0945269302550806,1.8376204502487292,0.5140688435869262,0.46342684474476264,11.772183327251332,10.297734800130657,-8.411006003349529,31.955372657852195,11.692740998710773
S1-connector,0.5,32,c,0,10,1,9,9,-2.107741929963179,1.7618728028276989,0.36979183904049895,0.4759657375642999,11.4760148151518,1.965402694648175,7.623896318523403,15.328133311780196,11.692740998710773
S1-connector,0.5,33,a,0,10,1,9,9,-4.141223758947817,8.83951676373971,8103.083634359483,0.07128187868199863,105.81062035681988,,,,11.692740998710773
S1-connector,0.5,33,b,0,10,1,9,9,1.3046033282282705,0.900201595502126,415.22178164137426,0.1530926275932463,13.418479069296222,77.79391527458093,-139.05479308524278,165.8917512238352,11.692740998710773
S1-connector,0.5,33,c,0,10,1,9,9,-1.263124661227412,1.7763717774162606,3.1022202878860687,0.3645858581512369,12.69045469931126,2.721102389418324,7.357192017805461,18.02371738081706,11.692740998710773
S1-connector,0.5,34,a,0,10,1,8,9,3.9758840638086443,-1.6621261309902753,8103.082673265082,0.08311183054033992,-8.580122064521012,107.62318351920511,-219.51768566370774,202.3574415346657,11.692740998710773
S1-connector,0.5,34,b,0,10,1,8,9,-0.14507057352024572,0.7967077285331994,6.994106168522072,0.3377150096711083,10.274228410034771,11.14793677003692,-11.57532616116737,32.123782981236914,11.692740998710773
S1-connector,0.5,34,c,0,10,1,8,9,-2.288400127727077,1.9527468859281507,0.3880514762369851,0.47836307753278684,11.814253728554913,2.147806619495289,7.604630108587423,16.023877348522404,11.692740998710773
S1-connector,0.5,35,a,0,10,1,9,10,-7.16065169153762,11.999701633322871,3920.10176940055,0.13869528112447424,76.1514457131037,668.1063461457737,-1233.3129305752636,1385.6158220014709,11.692740998710773
S1-connector,0.5,35,b,0,10,1,9,10,-7.039911297431846,3.314523340618255,0.00012340980457581846,0.904177333849798,11.5272235799173,802.8075851149048,-1561.94672976087,1585.0011769207047,11.692740998710773
S1-connector,0.5,35,c,0,10,1,9,10,-1.6611028420254978,1.9546704113233209,1.4591268015590027,0.3998715795953518,12.567817486532054,2.6153630164847805,7.441800167723848,17.69383480534026,11.692740998710773
S1-connector,0.5,28,a,0,10,1,8,10,-0.7669180319442619,3.5676984182085842,2297.2077876540206,0.15992355447940867,26.04899658325314,125.85943376112581,-220.630960703158,272.7289538696643,11.692740998710773
S1-connector,0.5,28,b,0,10,1,8,10,-6.949508542370939,3.1884075471191324,0.00012340981014749734,0.904553804081857,11.420553951626545,961.2475813075971,-1872.590085637501,1895.431193540754,11.692740998710773
