combo,rep,scheme,ok,log_xi,log_xi_true,a0,a1,lam,q
0,47,b,1,8.941513202631986,9.672761633543844,1.7228185447010365,0.1574211449580416,8103.055170974303,0.062020189877972344
0,47,c,1,9.839182439406345,9.672761633543844,-1.584416851694619,1.4822754432300789,0.8554599500212183,0.385924250572841
0,52,b,1,9.80259377147385,9.672761633543844,1.3369119633130762,0.4418365953003017,1121.15843534893,0.09381158131908633
0,52,c,1,9.282118059090747,9.672761633543844,-1.3711935940595006,1.2486655917022085,0.9507390136548989,0.38443158963778
0,53,b,1,8.992111427069403,9.672761633543844,1.7945257347807915,0.16187077538080863,8103.080371307581,0.05348832918137682
0,53,c,1,9.690288873042832,9.672761633543844,-1.5956887936857442,1.528742256695598,0.7590305570619902,0.39255671672899073
0,54,b,1,9.06263130743718,9.672761633543844,1.126868673851249,0.3698548519310419,697.1075634184764,0.1245061686575242
0,54,c,1,9.165186320527914,9.672761633543844,-1.1972609134545047,1.121648072407532,1.0859346403748602,0.3690550949396613
0,55,b,1,12.41947954363727,9.672761633543844,-8.405800118860519,7.720814367353983,0.00012340981947674918,0.8615682612403475
0,55,c,1,9.897333062401144,9.672761633543844,-0.9866157305656009,1.3876988396138923,2.5017538804516786,0.3226837769680447
0,80,b,1,10.110941390734245,9.672761633543844,-6.434642278538572,4.312253365894748,0.0001234098042431714,0.8583459007455594
0,80,c,1,8.27282479812256,9.672761633543844,-0.7006336313645039,0.5819580521763319,2.2099762292384773,0.3466812402081568
0,81,b,1,10.430811706449148,9.672761633543844,-1.9681572362030162,2.002736229347061,0.5532238231111934,0.4021389778949306
0,81,c,1,9.56764795750185,9.672761633543844,-1.5612449535217465,1.3528799974922339,0.6784140864916027,0.39305500932235776
0,82,b,1,10.236724438062888,9.672761633543844,-0.6888455785875607,1.4208593583752518,6.940621758307762,0.28468130092907
0,82,c,1,9.703410286969394,9.672761633543844,-1.4394833722507574,1.48742496248135,0.8563192236357046,0.37495069177528234
0,83,b,1,9.16894079757174,9.672761633543844,-1.8730042998280627,1.268569236427588,0.27080135214761825,0.4423622684447898
0,83,c,1,9.849480988940265,9.672761633543844,-1.8294527923595576,1.7808115677329988,0.38591033447105183,0.4088925748461737
0,56,b,1,9.753287816703955,9.672761633543844,-2.586362350144273,2.0424826529280544,0.10870634481168037,0.49177598425435654
0,56,c,1,9.137997404673294,9.672761633543844,-1.75990668308524,1.2972063028588934,0.34758097636196683,0.43163574556198003
0,57,b,1,10.237394064978213,9.672761633543844,-2.0095345012935724,2.038450543717502,0.5088071420291184,0.4137749773212585
0,57,c,1,9.86605916097888,9.672761633543844,-1.3082425002921367,1.526242379631456,1.3133326185698517,0.3563002877960933
0,58,b,1,10.62688819167767,9.672761633543844,0.585240554405122,0.9317565783683246,99.64854754958745,0.15474621894167048
0,58,c,1,9.95062347498768,9.672761633543844,-1.4164482749656688,1.5550029685190578,1.0291105364988888,0.36401392700558377
0,59,b,1,8.851796668135833,9.672761633543844,1.554654755149002,0.20015942267845455,7727.738058118672,0.08202957362210471
0,59,c,1,8.960098336228393,9.672761633543844,-2.603663940868182,1.3553862162851098,0.08953230577906952,0.5363850596140277
0,68,b,1,9.983793297291982,9.672761633543844,-2.975334167867527,2.112185270426931,0.05516024559014455,0.5198317897504705
0,68,c,1,10.022368078739865,9.672761633543844,-1.4017714156691914,1.5944921266834364,1.2520688552181223,0.36071635680675945
0,69,b,1,9.75359218168975,9.672761633543844,-2.625260926890232,1.9909348103372775,0.09498073539093466,0.4954738808557365
0,69,c,1,9.10270046993276,9.672761633543844,-0.9129528689627244,0.9752189890426508,2.1876377214728198,0.3411764909176117
0,70,b,1,10.1265077167306,9.672761633543844,-1.331180551512067,1.6584068835403054,1.725677099671434,0.35079151609677794
0,70,c,1,9.577897816145779,9.672761633543844,-1.3948411910734628,1.3860240066144422,0.9007813790430204,0.37499193904282935
0,71,b,1,8.727895858717012,9.672761633543844,1.834824169135067,0.13538748823597224,6627.002577020061,0.05002101485039444
0,71,c,1,10.066270861366132,9.672761633543844,-2.0237547896195274,2.02533826640646,0.3629443538416642,0.42095701551011655
